Urutan,Project,Sheet Excel,SN,Metro,Broadband,Description Metro,Description Broadband,Status,Bukti,Catatan
1,05-BAPPERIDA-PROVSU,05-BAPPELITBANG-PROVSU,H1U61QY000029,LAN5/WAN2,LAN6/WAN1,Metro Iforte,Broadband Nusanet,previously_verified_live,Pengujian pengguna BAPPERIDA/DINKES berhasil pada v2.8.4,
2,36-RUDIN-SEKDA-PROVSU,36-RUDIN-SEKDA-PROVSU,H1TC0EU006339,LAN8/WAN1,WAN0,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 093848.png; Screenshot 2026-09-21 093856.png,
3,02-RUDINGUBSU-IFORTE,02-RUDINGUBSU-IFORTE,H1TB01V006244,LAN3/WAN1,WAN0,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 093914.png; Screenshot 2026-09-21 093920.png,
4,12-DINKES-PROVSU,12-DINKES-PROVSU,H1TS50200105A,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,previously_verified_live,Pengujian pengguna BAPPERIDA/DINKES berhasil pada v2.8.4,
5,31-BP2RD-PROVSU,31-BP2RD-PROVSU,H1U408F00126B,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 093939.png; Screenshot 2026-09-21 093946.png,
6,07-DISHUB-PROVSU,07-DISHUB-PROVSU,H1TS502008909,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094001.png; Screenshot 2026-09-21 094008.png,
7,18-DP3AKB-PROVSU-LT2,18-DP3AKB-PROVSU-LT2,H1T07Y5005780,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094023.png; Screenshot 2026-09-21 094031.png,
8,17-DP3AKB-PROVSU-LT1,17-DP3AKB-PROVSU-LT1,H1T088800902C,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094048.png; Screenshot 2026-09-21 094054.png,
9,08-BAPEG-PROVSU,08-BAPEG-PROVSU,H1TB01V001173,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094110.png; Screenshot 2026-09-21 094115.png,
10,29-PUPR-PROVSU,29-PUPR-PROVSU,H1T810500754C,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094132.png; Screenshot 2026-09-21 094140.png,
11,19-DINSOS-PROVSU,19-DINSOS-PROVSU,H1SK52H000019,LAN3/WAN1,WAN0,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094155.png; Screenshot 2026-09-21 094201.png,
12,33-DISKOMINFO-HMSAID,33-DISKOMINFO-HMSAID,ZAT50Y900245A,WAN0,LAN3/WAN1,Metro iForte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094218.png; Screenshot 2026-09-21 094223.png,
13,04-SEKRETARIAT-DPRDSU,04-SEKRETARIAT-DPRDSU,H1TS502005316,WAN0,LAN7,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094241.png; Screenshot 2026-09-21 094249.png; Screenshot 2026-09-21 100446.png,
14,21-BASKESBANGPOL-PROVSU,21-BASKESBANGPOL-PROVSU,H1T07Y500621A,LAN3/WAN1,WAN0,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094309.png; Screenshot 2026-09-21 094316.png,
15,15-DISBUDPAREKRAF-PROVSU,15-DISBUDPAREKRAF-PROVSU,H1TS502003416,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094334.png; Screenshot 2026-09-21 094340.png,
16,14-PMDDUKCAPIL,14-PMDDUKCAPIL,ZAT406T002206,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094356.png; Screenshot 2026-09-21 094403.png,
17,35-DISPERPUSIP-PROVSU,35-DISPERPUSIP-PROVSU,H1TS502008980,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094416.png; Screenshot 2026-09-21 094423.png,
18,13-BPSDM-PROVSU,13-BPSDM-PROVSU,H1T8105007421,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094439.png; Screenshot 2026-09-21 094446.png,
19,03-RUDIN-WAGUBSU,03-RUDIN WAGUBSU,ZAT50Y9000923,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094502.png; Screenshot 2026-09-21 094509.png,
20,34-BAPEG-ASESOR-PROVSU,34-BAPEG-ASESOR-PROVSU,ZAT50Y900097C,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094525.png; Screenshot 2026-09-21 094532.png,
21,28-DINAS-SDA-PROVSU,28-DINAS-SDA-PROVSU,H1TB187003605,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094547.png; Screenshot 2026-09-21 094552.png,
22,30-DLHK-PROVSU,30-DLHK-PROVSU,H1T07Y501601C,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094608.png; Screenshot 2026-09-21 094615.png,
23,25-DINAS-PERKIM-PROVSU,25-DINAS-PERKIM-PROVSU,H1S0A73001863,LAN3/WAN1,WAN0,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094628.png; Screenshot 2026-09-21 094634.png,
24,27-DINAS-KETAPANG-PROVSU,27-DINAS-KETAPANG-PROVSU,H1SK52H002653,LAN3/WAN1,WAN0,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094650.png; Screenshot 2026-09-21 094656.png,
25,26-DISBUN-PROVSU,26-DISBUN-PROVSU,H1S0A73000896,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094715.png; Screenshot 2026-09-21 094721.png,Pada screenshot status gateway Waiting. Tetap dipetakan; status live diperiksa saat dijalankan.
26,22-DISKOP-PROVSU,22-DISKOP-PROVSU,H1T810500714B,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094734.png; Screenshot 2026-09-21 094742.png,
27,20-SATPOL-PP-PROVSU,20-SATPOL-PP-PROVSU,H1T07Y5005987,LAN3/WAN1,WAN0,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094758.png; Screenshot 2026-09-21 094805.png,
28,24-BPBD-PROVSU,24-BPBD-PROVSU,H1T07Y500553A,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094820.png; Screenshot 2026-09-21 094831.png,
29,32-DISPERINDAG-PROVSU,32-DISPERINDAG-PROVSU,H1T07Y5017195,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094848.png; Screenshot 2026-09-21 094853.png,
30,06-DISDIK-PROVSU,06-DISDIK-PROVSU,H1T8105006412,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094912.png; Screenshot 2026-09-21 094918.png,
31,09-INSPEKTORAT-PROVSU,09-INSPEKTORAT-PROVSU,H1SK52H00216C,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094931.png; Screenshot 2026-09-21 094937.png,
32,11-DISKP-PROVSU,11-DISKP-PROVSU,H1TC0EU003717,WAN0,LAN8/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 094953.png; Screenshot 2026-09-21 094958.png,
33,10-DPMPTSP-PROVSU,10-DPMPTSP-PROVSU,H1TS502002335,LAN8/WAN1,WAN0,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 095015.png; Screenshot 2026-09-21 095021.png,
34,23-DISNAKER-PROVSU,23-DISNAKER-PROVSU,H1T0888001913,LAN3/WAN1,WAN0,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 095044.png; Screenshot 2026-09-21 095050.png,
35,01-HQ-KOMINFO-PROVSU,01-HQ-KOMINFO-PROVSU,H1TA0MB002127,WAN0,Tidak digunakan,Metro Iforte,Tidak digunakan,metro_only_confirmed,Screenshot 2026-09-21 095107.png,Pengguna mengonfirmasi hanya Metro. Sheet dibuat bila belum tersedia; gambar Metro di A18.
36,16-DISPORA-PROVSU,16-DISPORA-PROVSU,H1T07Y501742C,WAN0,LAN3/WAN1,Metro Iforte,Broadband Nusanet,reviewed_screenshots,Screenshot 2026-09-21 095124.png; Screenshot 2026-09-21 095130.png,
